Instructor,Course,Semester,Course_Grade,Pre,Pre %,Post,Post %,% Change,%_Possible_Change,Normalized_Gain
D,Sci 1420,2015_Spring,98.90,20,40,30,60,20,60,0.33
D,Sci 1420,2015_Spring,99.80,23,46,33,66,20,54,0.37
D,Sci 1420,2015_Spring,95.00,18,36,30,60,24,64,0.38
D,Sci 1420,2015_Spring,93.90,19,38,33,66,28,62,0.45
E,Sci 1420,2013_Fall,75.00,27,54,24,48,-6,46,0.00
E,Sci 1420,2013_Fall,82.00,19,38,16,32,-6,62,0.00
E,Sci 1420,2013_Fall,68.00,19,38,19,38,0,62,0.00
E,Sci 1420,2013_Fall,75.00,35,70,37,74,4,30,0.13
E,Sci 1420,2013_Fall,55.00,12,24,19,38,14,76,0.18
E,Sci 1420,2013_Fall,78.00,23,46,28,56,10,54,0.19
E,Sci 1420,2013_Fall,82.00,24,48,29,58,10,52,0.19
E,Sci 1420,2013_Fall,75.00,21,42,27,54,12,58,0.21
E,Sci 1420,2013_Fall,75.00,19,38,26,52,14,62,0.23
E,Sci 1420,2013_Fall,85.00,24,48,30,60,12,52,0.23
E,Sci 1420,2013_Fall,88.00,24,48,30,60,12,52,0.23
E,Sci 1420,2013_Fall,75.00,25,50,31,62,12,50,0.24
E,Sci 1420,2013_Fall,85.00,17,34,25,50,16,66,0.24
E,Sci 1420,2013_Fall,68.00,18,36,26,52,16,64,0.25
E,Sci 1420,2013_Fall,75.00,15,30,24,48,18,70,0.26
E,Sci 1420,2013_Fall,68.00,20,40,28,56,16,60,0.27
E,Sci 1420,2013_Fall,75.00,19,38,28,56,18,62,0.29
E,Sci 1420,2013_Fall,68.00,17,34,27,54,20,66,0.30
E,Sci 1420,2013_Fall,55.00,15,30,26,52,22,70,0.31
E,Sci 1420,2013_Fall,75.00,15,30,28,56,26,70,0.37
E,Sci 1420,2013_Fall,82.00,15,30,28,56,26,70,0.37
E,Sci 1420,2013_Fall,78.00,17,34,31,62,28,66,0.42
E,Sci 1420,2013_Fall,75.00,15,30,30,60,30,70,0.43
E,Sci 1420,2013_Fall,88.00,23,46,35,70,24,54,0.44
E,Sci 1420,2013_Fall,95.00,13,26,31,62,36,74,0.49
E,Sci 1420,2014_Spring,68.00,20,40,18,36,-4,60,0.00
E,Sci 1420,2014_Spring,75.00,20,40,19,38,-2,60,0.00
E,Sci 1420,2014_Spring,65.00,19,38,19,38,0,62,0.00
E,Sci 1420,2014_Spring,65.00,11,22,14,28,6,78,0.08
E,Sci 1420,2014_Spring,75.00,20,40,23,46,6,60,0.10
E,Sci 1420,2014_Spring,82.00,26,52,29,58,6,48,0.13
E,Sci 1420,2014_Spring,65.00,19,38,23,46,8,62,0.13
E,Sci 1420,2014_Spring,68.00,19,38,23,46,8,62,0.13
E,Sci 1420,2014_Spring,92.00,27,54,30,60,6,46,0.13
E,Sci 1420,2014_Spring,75.00,8,16,15,30,14,84,0.17
E,Sci 1420,2014_Spring,62.00,18,36,25,50,14,64,0.22
E,Sci 1420,2014_Spring,75.00,23,46,29,58,12,54,0.22
E,Sci 1420,2014_Spring,82.00,19,38,27,54,16,62,0.26
E,Sci 1420,2014_Spring,78.00,26,52,33,66,14,48,0.29
E,Sci 1420,2014_Spring,92.00,25,50,33,66,16,50,0.32
E,Sci 1420,2014_Spring,75.00,14,28,26,52,24,72,0.33
E,Sci 1420,2014_Spring,82.00,27,54,35,70,16,46,0.35
E,Sci 1420,2014_Spring,92.00,24,48,34,68,20,52,0.38
E,Sci 1420,2014_Spring,82.00,16,32,32,64,32,68,0.47
F,Sci 1420,2017_Spring,74.00,17,34,0,0,-34,66,0.00
F,Sci 1420,2017_Spring,61.00,14,28,0,0,-28,72,0.00
F,Sci 1420,2017_Spring,70.00,17,34,11,22,-12,66,0.00
F,Sci 1420,2017_Spring,84.00,15,30,11,22,-8,70,0.00
F,Sci 1420,2017_Spring,92.00,14,28,11,22,-6,72,0.00
F,Sci 1420,2017_Spring,92.00,11,22,9,18,-4,78,0.00
F,Sci 1420,2017_Spring,60.00,17,34,16,32,-2,66,0.00
F,Sci 1420,2017_Spring,97.00,10,20,13,26,6,80,0.08
F,Sci 1420,2017_Spring,77.00,20,40,24,48,8,60,0.13
F,Sci 1420,2017_Spring,80.00,9,18,16,32,14,82,0.17
F,Sci 1420,2017_Spring,86.00,10,20,17,34,14,80,0.18
F,Sci 1420,2017_Spring,77.00,15,30,22,44,14,70,0.20
F,Sci 1420,2017_Spring,72.00,15,30,24,48,18,70,0.26
F,Sci 1420,2017_Spring,83.00,9,18,23,46,28,82,0.34
F,Sci 1420,2017_Spring,67.00,8,16,24,48,32,84,0.38
F,Sci 1420,2017_Spring,87.00,0,0,20,40,40,100,0.40
F,Sci 1420,2019_Fall,74.00,27,54,28,56,2,46,0.04
F,Sci 1420,2019_Fall,53.00,13,26,15,30,4,74,0.05
F,Sci 1420,2019_Fall,72.00,20,40,22,44,4,60,0.07
F,Sci 1420,2019_Fall,69.00,25,50,27,54,4,50,0.08
F,Sci 1420,2019_Fall,70.00,8,16,12,24,8,84,0.10
F,Sci 1420,2019_Fall,74.00,14,28,20,40,12,72,0.17
F,Sci 1420,2019_Fall,77.00,14,28,20,40,12,72,0.17
F,Sci 1420,2019_Fall,76.00,16,32,24,48,16,68,0.24
F,Sci 1420,2019_Fall,62.00,8,16,18,36,20,84,0.24
F,Sci 1420,2019_Fall,71.00,15,30,24,48,18,70,0.26
F,Sci 1420,2019_Fall,69.00,19,38,28,56,18,62,0.29
F,Sci 1420,2019_Fall,70.00,16,32,26,52,20,68,0.29
F,Sci 1420,2019_Fall,73.00,14,28,25,50,22,72,0.31
F,Sci 1420,2019_Fall,74.00,18,36,28,56,20,64,0.31
F,Sci 1420,2019_Fall,85.00,18,36,29,58,22,64,0.34
F,Sci 1420,2019_Fall,78.00,21,42,31,62,20,58,0.34
F,Sci 1420,2019_Fall,80.00,11,22,26,52,30,78,0.38
F,Sci 1420,2019_Fall,87.00,23,46,35,70,24,54,0.44
F,Sci 1420,2019_Fall,83.00,22,44,35,70,26,56,0.46
G,Sci 1420,2012_Fall,62.00,17,34,14,28,-6,66,0.00
G,Sci 1420,2012_Fall,70.00,17,34,18,36,2,66,0.03
G,Sci 1420,2012_Fall,88.00,18,36,20,40,4,64,0.06
G,Sci 1420,2012_Fall,84.00,20,40,22,44,4,60,0.07
G,Sci 1420,2012_Fall,76.00,24,48,26,52,4,52,0.08
G,Sci 1420,2012_Fall,86.00,18,36,21,42,6,64,0.09
G,Sci 1420,2012_Fall,82.00,21,42,24,48,6,58,0.10
G,Sci 1420,2012_Fall,68.00,23,46,26,52,6,54,0.11
G,Sci 1420,2012_Fall,75.00,23,46,26,52,6,54,0.11
G,Sci 1420,2012_Fall,80.00,24,48,28,56,8,52,0.15
G,Sci 1420,2012_Fall,87.00,31,62,34,68,6,38,0.16
G,Sci 1420,2012_Fall,100.00,26,52,30,60,8,48,0.17
G,Sci 1420,2012_Fall,78.00,23,46,28,56,10,54,0.19
G,Sci 1420,2012_Fall,71.00,19,38,25,50,12,62,0.19
G,Sci 1420,2012_Fall,74.00,19,38,25,50,12,62,0.19
G,Sci 1420,2012_Fall,92.00,25,50,31,62,12,50,0.24
G,Sci 1420,2012_Fall,70.00,21,42,28,56,14,58,0.24
G,Sci 1420,2012_Fall,86.00,26,52,32,64,12,48,0.25
G,Sci 1420,2012_Fall,56.00,17,34,26,52,18,66,0.27
G,Sci 1420,2012_Fall,87.00,24,48,32,64,16,52,0.31
G,Sci 1420,2012_Fall,86.00,20,40,30,60,20,60,0.33
G,Sci 1420,2012_Fall,82.00,19,38,30,60,22,62,0.35
G,Sci 1420,2012_Fall,94.00,18,36,30,60,24,64,0.38
G,Sci 1420,2012_Fall,94.00,22,44,38,76,32,56,0.57
J,Sci 1420,2017_Spring,59.13,16,32,19,38,6,68,0.09
J,Sci 1420,2017_Spring,47.02,15,30,19,38,8,70,0.11
J,Sci 1420,2017_Spring,66.31,18,36,22,44,8,64,0.13
J,Sci 1420,2017_Spring,66.23,19,38,23,46,8,62,0.13
J,Sci 1420,2017_Spring,72.44,13,26,18,36,10,74,0.14
J,Sci 1420,2017_Spring,70.95,20,40,25,50,10,60,0.17
J,Sci 1420,2017_Spring,64.54,10,20,17,34,14,80,0.18
J,Sci 1420,2017_Spring,64.30,11,22,18,36,14,78,0.18
J,Sci 1420,2017_Spring,63.54,19,38,25,50,12,62,0.19
J,Sci 1420,2017_Spring,79.71,14,28,22,44,16,72,0.22
J,Sci 1420,2017_Spring,70.05,17,34,26,52,18,66,0.27
J,Sci 1420,2017_Spring,69.26,22,44,30,60,16,56,0.29
J,Sci 1420,2017_Spring,79.60,8,16,21,42,26,84,0.31
J,Sci 1420,2017_Spring,73.82,15,30,27,54,24,70,0.34
J,Sci 1420,2017_Spring,82.39,21,42,32,64,22,58,0.38
J,Sci 1420,2017_Spring,88.28,15,30,29,58,28,70,0.40
J,Sci 1420,2017_Spring,88.86,12,24,28,56,32,76,0.42
J,Sci 1420,2017_Spring,90.55,13,26,36,72,46,74,0.62
